SW Branston,date unknown ,,Northamptonshire 2nd XI,,,,,
Sameet Singh Brar,May 3  1996  Newcastle upon Tyne  Northumberland ,21 years 333 days,Durham 2nd XI ,,Right-hand bat,Right-arm medium-fast,,
Andrew James Brassington,August 9  1954  Bagnall  Staffordshire ,63 years 235 days,Gloucestershire,,Right-hand bat,,Enden Secondary Modern,
Ruel Marlon Ricardo Brathwaite,September 6  1985  Barbados ,32 years 207 days,West Indians ,,Right-hand bat,Right-arm fast-medium,Dulwich College; Loughborough University,
David John Braulik,December 31  1944  Walthamstow ,73 years 91 days,,,,,Umpire,
Leonard Charles Braund,October 18  1875  Clewer  Berkshire ,,England ,,Right-hand bat,Legbreak,Umpire,
Andrew Richard Bray,November 16  1979  Westminster  London ,38 years 136 days,Hampshire 2nd XI ,,Right-hand bat,Right-arm fast-medium,,
Charlie Bray,April 6  1898  Portslade  Brighton  Sussex ,,Essex,,Right-hand bat,Right-arm medium,Journalist,
Edward Bray,August 19  1849  The Manor House  Shere  Surrey ,,Cambridge University ,,Right-hand bat,Right-arm slow,Son - ,
Edward Hugh Bray,April 15  1874  Kensington  London ,,Cambridge University ,,Right-hand bat,,Father - ,
James Bray,January 18  1853  Limehouse  London ,,Kent,,Right-hand bat,Right-arm medium,August 30  1898  St Pancras  London (aged 45 years 224 days) ,
James Bray,October 11  1790  Waldron  Sussex ,,Kent ,,,,January 31  1869  Waldron  Sussex (aged 78 years 112 days) ,
Kevin George Bray,September 24  1968  Sydney  New South Wales  Australia ,49 years 189 days,Warwickshire Cricket Board,,Right-hand bat,Right-arm fast-medium,,
Leslie Lingwood Bray,January 14  1895  West Ham  Essex ,,Royal Air Force,,,,November 29  1957  Ampthill  Bedfordshire (aged 62 years 319 days) ,
Philippa Lucy Bray,date unknown ,,Worcestershire Women,,,,,
Henry Mellor Braybrooke,February 11  1869  Kandy  Ceylon ,,Cambridge University ,,Right-hand bat,Right-arm medium,October 28  1935  Hawkhurst  Kent (aged 66 years 259 days) ,
Stephen Henry Braybrooke,December 24  1808  Thanet  Kent ,,Manchester,,,,1886  Salford  Lancashire (aged 77 years) ,
Peter Beldon Brayshay,October 14  1916  Headingley  Leeds  Yorkshire ,,Europeans (India) ,,Right-hand bat,Right-arm fast,July 2004  Leeds  Yorkshire (aged 87 years) ,
Alan Frederick Brazier,December 7  1924  Paddington  London ,,Kent ,,Right-hand bat,Right-arm medium,Coach,
Louise Emily Brazier,date unknown ,,Warwickshire Women,,,,,
Rebecca Ann Brazier,July 29  1998   Birmingham  Warwickshire ,19 years 246 days,Warwickshire Women,,,,,
William Brazier,1755  Cudham  Kent ,,Kent XI ,,,,October 7  1829  Cudham  Kent (aged 74 years) ,
Dennis Breakwell,July 2  1948  Brierley Hill  Staffordshire ,69 years 273 days,Northamptonshire ,,Left-hand bat,Slow left-arm orthodox,Ounsdale Comprehensive School  Staffordshire,
David Hilton Breakwell,June 16  1946  Bridgnorth  Shropshire ,71 years 289 days,Shropshire,,Right-hand bat,Right-arm fast-medium,,
Jessica Breakwell,August 21  1994 ,23 years 223 days,Shropshire Women,,,,,
Horace Brearley,June 26  1913  Heckmondwike  Yorkshire ,,Middlesex ,,Right-hand bat,,Son - ,
John Michael Brearley,April 28  1942  Harrow  Middlesex ,75 years 338 days,England ,,Right-hand bat,Right-arm medium,Father - ,
Mark D Brearley,date unknown ,,England Young Cricketers ,,,,,
Walter Brearley,March 11  1876  Bolton  Lancashire ,,England ,,Right-hand bat,Right-arm fast,January 30  1937  Marylebone  London (aged 60 years 325 days) ,
Martin Nicholas Breddy,September 23  1961  Torquay  Devon ,56 years 190 days,Cambridge University,,Right-hand bat,,,
Andrew Michael Bredin,January 12  1962  Wimbledon  Surrey ,56 years 79 days,Sussex,,Right-hand bat,Slow left-arm orthodox,,
Carl Louis Breeden,February 10  1891  Moseley  Birmingham  Warwickshire ,,Warwickshire,,Right-hand bat,Right-arm medium,November 2  1951  Claverdon  Warwickshire (aged 60 years 265 days) ,
Josef Johannes Breet,July 3  1980  Johannesburg  Transvaal  South Africa ,37 years 272 days,Wiltshire,,Right-hand bat,Right-arm offbreak,,
IL Breeze,date unknown ,,,,,,Umpire,
James Brelsford,December 19  1855  Brimington  Derbyshire ,,Derbyshire,,Right-hand bat,Right-arm medium,James Bralsford,
Rory Keith Ogilvy Bremner,April 6  1961  Edinburgh  Midlothian ,56 years 360 days,International XI,,,,,
Henry Brenchley,September 30  1828  Milton  Kent ,,Kent,,,,February 24  1887  Dover  Kent (aged 58 years 147 days) ,
Thomas Herman Brenchley,date unknown ,,Kent,,,,September 19  1894  Newcastle Emlyn  Carmarthen ,
Donald Vincent Brennan,February 10  1920  Eccleshill  Yorkshire ,,England ,,Right-hand bat,,Wicketkeeper,
Charles John Brereton,December 10  1838  Brinningham Hall  Norfolk ,,Cambridge University ,,,,September 9  1898  Thornage  Norfolk (aged 59 years 273 days) ,
W J Brereton,date unknown ,,Norfolk,,,,,
R Bresnan,date unknown ,,Yorkshire 2nd XI,,,,,
Timothy Thomas Bresnan,February 28  1985  Pontefract  Yorkshire ,33 years 32 days,England ,Allrounder,Right-hand bat,Right-arm medium-fast,Castleford High School  Pontefract New College,
Alastair Nigel Bressington,November 28  1979  Bristol ,38 years 124 days,Cardiff MCCU ,,Left-hand bat,Right-arm medium,Brother - ,
Nathan Stewart Bressington,February 7  1981  Cheltenham  Gloucestershire ,37 years 53 days,Gloucestershire Cricket Board,,Left-hand bat,Right-arm medium,Brother - ,
James Bretherton,January 5  1862  Whiston  Lancashire ,,Liverpool and District,,Right-hand bat,Right-arm fast-medium,June 9  1926  Raby  Cheshire (aged 64 years 155 days) ,
James Brett,date unknown ,,England,,,,,
Noel Adrian Brett,September 8  1975  Aldershot  Hampshire ,42 years 205 days,Surrey Cricket Board,,Right-hand bat,Right-arm offbreak,,
Philip Brett,1816  Mount Bures  Essex ,,Cambridge University,,,,January 9  1872  Mount Bures  Essex (aged 56 years) ,
Patrick John Brett,April 18  1910  Johannesburg  Transvaal  South Africa ,,Oxford University,,Right-hand bat,Right-arm medium-fast,December 9  1982  Hook Heath  Woking  Surrey (aged 72 years 235 days) ,
Thomas Brett,November 13  1989  Kettering  Northamptonshire ,28 years 139 days,Bedfordshire ,,Right-hand bat,Slow left-arm orthodox,Cousin - ,
Thomas Brett,1747  Catherington  Hampshire ,,Hampshire XI,,,(unknown arm) fast (underarm),December 31  1809  Kingston Cross  Portsmouth  Hampshire (aged 62 years) ,
David Norman Brettell,March 10  1956  Woking  Surrey ,62 years 22 days,Hong Kong ,,Left-hand bat,Slow left-arm orthodox,,
James Gordon Brettell,December 19  1962  Woking  Surrey ,55 years 103 days,Oxford University,,Right-hand bat,Slow left-arm orthodox,,
Derek Brewer,date unknown ,,,,,,Administrator,
Matt Brewer,date unknown ,,Gloucestershire 2nd XI,,,,,
Thomas Tanner Brewer,August 23  1868  Huntspill  Bridgwater  Somerset ,,London County,,,,details unknown ,
Andrew David Francis Brewster,February 1  1997  York ,21 years 59 days,Unicorns,,Right-hand bat,Right-arm medium,,
Anthony Piers Brewster,August 31  1978  Reading  Berkshire ,39 years 213 days,Sussex 2nd XI ,,Right-hand bat,Right-arm medium,,
H Brewster,date unknown ,,Northamptonshire 2nd XI,,,,,
Vincent Crescedo Brewster,January 2  1940  Bridgetown  Barbados ,78 years 89 days,Warwickshire,,Left-hand bat,Slow left-arm orthodox,,
Christopher Trevor Brice,January 5  1983  Leeds  Yorkshire ,35 years 86 days,Yorkshire Cricket Board,,Left-hand bat,Slow left-arm orthodox,,
Edward Archibald Brice,September 1  1849  Secunderabad  Andhra Pradesh  India ,,Gloucestershire,,Right-hand bat,Right-arm fast,changed his name to Edward Archibald Bruce in August 1875,
Gordon Harry Joseph Brice,May 4  1924  Goldington  Bedford ,93 years 332 days,Northamptonshire,,Right-hand bat,Right-arm fast-medium,,
James Alan Brice,July 18  1982  Sheffield  Yorkshire ,35 years 257 days,Lincolnshire,,Right-hand bat,Right-arm medium-fast,,
Colin Brickell,date unknown ,,,,,,Umpire,
