Manikku Arachchige Harshajith Rushan,February 23  1998  Ambalangoda ,20 years 58 days,,,Left-hand bat,Legbreak,Dharmasoka College  Ambalangoda,
Selvaraj Rushanthan,February 7  1999  Vavuniya ,19 years 74 days,Mannar-Vavuniya Combined Schools,,Right-hand bat,Right-arm fast-medium,Vipulantha College,
S Rushanthan,February 7  1999 ,19 years 74 days,Mannar-Vavuniya Combined Schools,,Right-hand bat,Right-arm fast-medium,,
Mohamed Jaufer Hasan Rushdy,August 10  1971  Hatton ,46 years 255 days,Burgher Recreation Club ,,Right-hand bat,Right-arm fast-medium,,
Aranda Belasige Don Dilshan Rusiru,March 30  1992  Colombo ,26 years 23 days,,,Right-hand bat,Right-arm medium,Mahanama College,
PHD Ruwan,date unknown ,,Kotelawala Defence University,,,,,
Theyaya Mudiyanselage Indika Ruwanpura,July 11  1980  Watlawatte ,37 years 285 days,Chilaw Marians Cricket Club,,Right-hand bat,Right-arm fast-medium,,
Lokukuruppu Arichchilage Don Chanaka Ruwansiri,October 14  1989  Colombo ,28 years 190 days,Saracens ,,Right-hand bat,Right-arm offbreak,Central College  Piliyandala,
RP Sanduni Ruwanthika,date unknown ,,,,,,,
Nirosha Sanjeewani,date unknown ,,Chilaw Marians Cricket Club,,,,,
Shrimantha,date unknown ,,CWW.Kannangara College,,,,CWW Kannangara College  Colombo,
