Atiq Khan,date unknown ,,Shagarah Panthers,,,,,
Atizaz,date unknown ,,High Star Medical CC,,,,,
Atizaz,date unknown ,,Been Chakwal CC,,,,,
Augustin Jonas,date unknown ,,PCC,,,,,
Aurangzeb Memon,date unknown ,,Gargash Smashers,,,,,
Mohammad Ausaf Ali,May 11  1982  Sharjah ,35 years 346 days,United Arab Emirates,,,,,
Austine Mascarenhas,date unknown ,,AWR 1,,,,,
Avatar,date unknown ,,Kazmi Knight Riders,,,,,
Avi,date unknown ,,Coca Cola,,,,,
Avi,date unknown ,,Coca Cola,,,,,
Avi,date unknown ,,Coca Cola,,,,,
Avinash,date unknown ,,Tiger CC,,,,,
Avinash,date unknown ,,Tiger CC,,,,,
