Karim,date unknown ,,Abu Dhabi United,,,,,
Karthic,date unknown ,,Red Knights,,,,,
Karthik,date unknown ,,Cobras (UAE),,,,,
Karthik,date unknown ,,Red Knights,,,,,
Karthik,date unknown ,,Wonderlads,,,,,
Karthik,date unknown ,,Mutants,,,,,
Karthik,date unknown ,,SHJ Warriors,,,,,
K Karthik,date unknown ,,AU Finja,,,,,
M Karthik,date unknown ,,AU Finja,,,,,
Kartik,date unknown ,,Wonderlads,,,,,
Kartik,date unknown ,,Cobras (UAE),,,,,
Kartik,date unknown ,,Blue Warriors,,,,,
Kartik Palaniappan,date unknown ,,United Arab Emirates Under-19s,,,,,
