Raheem Waheed,July 10  1963  India ,54 years 286 days,DXB Warriors,,,,,
Rahil Hasan,date unknown ,,Adam Global Dubai,,,,,
Rahim,date unknown ,,Pakhtoon XI,,,,,
Rahim,date unknown ,,Heidelberg Warriors,,,,,
Rahman,date unknown ,,Khaleej Times,,,,,
Rahman Gul,date unknown ,,DHL Sharjah,,,,,
Rahul,date unknown ,,Nice Lead,,,,,
Rahul,date unknown ,,Players CC,,,,,
Rahul,date unknown ,,Friends CC,,,,,
Rahul,date unknown ,,Dubai Indians,,,,,
Rahul,date unknown ,,Hawks (UAE),,,,,
Rahul,date unknown ,,Stallions,,,,,
Rahul,date unknown ,,Mutants,,,,,
K Rahul,date unknown ,,Park-N-Shop,,,,,
MN Rahul,date unknown ,,Metro Tigers Dubai,,,,,
Rahul Benny,date unknown ,,Wellcare Warriors,,,,,
