Senthil Kumar,date unknown ,,DXB Panthers,,,,,
Ednam Sequeira,date unknown ,,Duke Boys,,,,,
Sethu,date unknown ,,Abela and Co,,,,,
Sethu,date unknown ,,Abela and Co,,,,,
Seyabudeen Sulaiman,date unknown ,,Rocking Stars,,,,,
Shabaz,date unknown ,,SOL Group,,,,,
Shabbir Ali,date unknown ,,Peshawar Cricket Association,,,,Umpire,
Shabeer Hamza,date unknown ,,DIB Knight Riders,,,,,
Shabeer Mohammad,date unknown ,,DIB Knight Riders,,,,,
Shabir,date unknown ,,Dubai Night Riders,,,,,
Shabir,date unknown ,,Friends 4 Ever,,,,,
Shabir Jnr,date unknown ,,Dubai Night Riders,,,,,
Shabir Snr,date unknown ,,Dubai Night Riders,,,,,
Shadaab,date unknown ,,Techrobotix,,,,,
