Gavin John De Villiers,January 22  1967  Kimberley  Cape Province ,51 years 90 days,Griqualand West,,Right-hand bat,Legbreak,,
Hanre De Villiers,March 13  2001  Klerksdorp ,17 years 40 days,North West Under-15s,,Right-hand bat,Right-arm fast,Wesvalia High,
Jacques De Villiers,August 19  1954  Paarl  Cape Province ,63 years 246 days,Boland,,Right-hand bat,Right-arm fast-medium,,
Juandre de Villiers,March 16  1999 ,19 years 37 days,Boland Under-13s,,Right-hand bat,Right-arm fast,,
Jean de Villiers,February 24  1981  Paarl ,37 years 57 days,Springboks,,,,6 ft 3 in ,
John Garrett De Villiers,July 5  1956  Ladismith  Cape Province ,61 years 291 days,Boland,,Left-hand bat,Right-arm offbreak,,
John Olivier De Villiers,February 28  1930  Cape Town  Cape Province ,,Orange Free State ,,Right-hand bat,,July 3  1969  Tarkastad  Cape Province (aged 39 years 125 days) ,
Juan Pierre de Villiers,April 5  1989 ,29 years 17 days,Northerns ,,Right-hand bat,Right-arm fast-medium,,
J S De Villiers,date unknown ,,Eastern Province,,,,,
Konrad de Villiers,date unknown ,,Eastern Province Invitation XI,,Right-hand bat,Right-arm fast-medium,,
