Avadoot Namdev Amonkar,January 2  1972  Quepem  Goa ,46 years 96 days,Goa,,Right-hand bat,Right-arm medium,,
Guru Amonkar,date unknown ,,Goa,,,,,
Prasad Atmaram Amonkar,October 1  1964  Panaji  Goa ,53 years 189 days,Goa,,Right-hand bat,,,
Sumiran Praneet Amonkar,July 28  1991  Margo  Goa ,26 years 254 days,Goa ,,Right-hand bat,Right-arm medium,,
Uday Amonkar,date unknown ,,Goa,,,,,
Pravin Kalyan Amre,August 14  1968  Bombay (now Mumbai)  Maharashtra ,49 years 237 days,India ,,Right-hand bat,Legbreak,,
Saurabh Amre,date unknown ,,Rizvi Mumbai,,,,Rizvi Mumbai,
Dalmova Amresh Kumar,August 25  1980  Hyderabad  Andhra Pradesh ,37 years 226 days,,,Right-hand bat,Right-arm medium,,
Amrik Singh,July 7  1940  Hasilpur  Punjab ,77 years 275 days,Southern Punjab,,Right-hand bat,,Wicketkeeper,
Amrinder Singh,September 8  1980  Gurdaspur  Punjab ,37 years 212 days,Punjab,,Right-hand bat,Right-arm medium,,
Amrinder Singh,September 20  1983  Bokaro  Bihar ,34 years 200 days,Services,,Left-hand bat,Slow left-arm orthodox,,
Amrit Ghosh,December 12  1988  Tezpur  Assam ,29 years 117 days,Assam Under-16s,,Right-hand bat,Legbreak,Litu,
Amrit Lal,date unknown ,,Southern Punjab,,,,,
Amrit Lal,date unknown ,,Southern Punjab,,,,,
D Amroliwala,date unknown ,,Central Provinces and Berar,,,,,
Hoshang Dadiba Amroliwala,August 12  1931  Bombay (now Mumbai)  Maharashtra ,,Mumbai,,Right-hand bat,Legbreak googly,December 29  2017 (aged 86 years 139 days) ,
Dwarikannan Amsavalli,January 26  1980  Trichy (now Tiruchchirappali)  Tamil Nadu ,38 years 72 days,South Zone Women ,,Right-hand bat,Right-arm medium,Amsa,
Thankappan Nair Ananandakuttan,May 23  1983  Neyyattinkara  Thiruvananthapuram ,34 years 320 days,Kerala,,Right-hand bat,Right-arm medium,,
Amrik Singh Anand,March 12  1947  Rawalpindi  Punjab ,71 years 27 days,Southern Punjab,,Right-hand bat,Legbreak googly,,
Chikkanna Anand,November 3  1982  Mysore  Karnataka ,35 years 156 days,Karnataka Under-19s,,Right-hand bat,Right-arm medium,,
Doddamani Anand,May 6  1995 ,22 years 337 days,Mysuru Warriors,,Right-hand bat,Slow left-arm orthodox,,
Harbans S Anand,date unknown ,,Jharkhand ,,,,,
Jagrit Anand,July 15  1989  Delhi ,28 years 267 days,Kolkata Knight Riders,,Left-hand bat,Right-arm medium,,
Kirti Anand,date unknown ,,Jodhpur Jodhana Royals,,Right-hand bat,Right-arm medium-fast,,
PB Anand,September 4  1971  Madras (now Chennai)  Tamil Nadu ,46 years 216 days,Globe Trotters Sports Club ,,Right-hand bat,Legbreak,,
Rajiv Anand,April 27  1957  Patiala  Punjab ,60 years 346 days,Haryana,,Right-hand bat,,,
Sekhar Anand,March 8  1961  Allahabad  Uttar Pradesh ,57 years 31 days,Uttar Pradesh,,Left-hand bat,,,
Subramanian Anand,January 14  1986  Chennai  Tamil Nadu ,32 years 84 days,Albert TUTI Patriots ,,Right-hand bat,Legbreak googly,,
